time,dt,qw,qx,qy,qz,roll_deg,pitch_deg,yaw_deg,bg_x,bg_y,bg_z,p00,p11,p22,p33,p44,p55,z_x,z_y,z_z,nis,S00,S11,S22,upd,x,y,z,vx,vy,vz,ba_x,ba_y,ba_z,zp_x,zp_y,zp_z,nis_p,Sp00,Sp11,Sp22,upd_p,Ppx,Ppy,Ppz,Pvx,Pvy,Pvz,Pbax,Pbay,Pbaz
1786181234.129745007,0.004240,0.999986672,-0.001523503,0.004932765,0.000045927,-0.174561,0.565263,0.004402,5.380182e-04,2.437071e-03,1.661853e-02,1.008033e-06,1.008033e-06,1.008033e-06,1.074137e-08,1.074137e-08,1.074137e-08,0.000000e+00,0.000000e+00,0.000000e+00,0.000000,0.000000e+00,0.000000e+00,0.000000e+00,0,0.000043,-0.000043,-0.000057,0.000732,-0.001055,-0.001069,5.685109e-04,1.883433e-04,-5.691515e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000,0.000000e+00,0.000000e+00,0.000000e+00,0,1.005777e-04,1.005777e-04,1.005772e-04,1.254858e-04,1.254858e-04,1.249578e-04,2.500019e-03,2.500019e-03,2.500019e-03
1786181234.135512829,0.005768,0.999986709,-0.001519539,0.004926560,0.000052202,-0.174103,0.564553,0.005124,5.380182e-04,2.437071e-03,1.661853e-02,1.008382e-06,1.008382e-06,1.008382e-06,1.079905e-08,1.079905e-08,1.079905e-08,0.000000e+00,0.000000e+00,0.000000e+00,0.000000,0.000000e+00,0.000000e+00,0.000000e+00,0,0.000047,-0.000049,-0.000064,0.001819,-0.001222,-0.001577,5.685109e-04,1.883433e-04,-5.691515e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000,0.000000e+00,0.000000e+00,0.000000e+00,0,1.006767e-04,1.006767e-04,1.006759e-04,1.282709e-04,1.282709e-04,1.276581e-04,2.500020e-03,2.500020e-03,2.500020e-03
1786181234.139526367,0.004014,0.999986738,-0.001521120,0.004920085,0.000043767,-0.174289,0.563809,0.004158,5.380182e-04,2.437071e-03,1.661853e-02,1.008554e-06,1.008554e-06,1.008554e-06,1.083919e-08,1.083919e-08,1.083919e-08,0.000000e+00,0.000000e+00,0.000000e+00,0.000000,0.000000e+00,0.000000e+00,0.000000e+00,0,0.000054,-0.000054,-0.000070,0.002078,-0.001348,-0.001608,5.685109e-04,1.883433e-04,-5.691515e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000,0.000000e+00,0.000000e+00,0.000000e+00,0,1.007508e-04,1.007508e-04,1.007499e-04,1.302099e-04,1.302099e-04,1.295338e-04,2.500021e-03,2.500021e-03,2.500021e-03
1786181234.145362616,0.005836,0.999986776,-0.001517155,0.004913792,0.000040792,-0.173837,0.563088,0.003820,5.380182e-04,2.437071e-03,1.661853e-02,1.008913e-06,1.008913e-06,1.008913e-06,1.089755e-08,1.089755e-08,1.089755e-08,0.000000e+00,0.000000e+00,0.000000e+00,0.000000,0.000000e+00,0.000000e+00,0.000000e+00,0,0.000066,-0.000062,-0.000079,0.001522,-0.001375,-0.001170,5.685109e-04,1.883433e-04,-5.691515e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000,0.000000e+00,0.000000e+00,0.000000e+00,0,1.008665e-04,1.008665e-04,1.008653e-04,1.333329e-04,1.333329e-04,1.325583e-04,2.500022e-03,2.500022e-03,2.500022e-03
1786181234.149671793,0.004309,0.999986810,-0.001509638,0.004909146,0.000038572,-0.172976,0.562555,0.003571,5.380182e-04,2.437071e-03,1.661853e-02,1.009112e-06,1.009112e-06,1.009112e-06,1.094064e-08,1.094064e-08,1.094064e-08,0.000000e+00,0.000000e+00,0.000000e+00,0.000000,0.000000e+00,0.000000e+00,0.000000e+00,0,0.000073,-0.000068,-0.000084,0.000758,-0.001377,-0.001102,5.685109e-04,1.883433e-04,-5.691515e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000,0.000000e+00,0.000000e+00,0.000000e+00,0,1.009582e-04,1.009582e-04,1.009566e-04,1.356571e-04,1.356571e-04,1.348060e-04,2.500024e-03,2.500024e-03,2.500024e-03
1786181234.155489206,0.005817,0.999986791,-0.001511837,0.004912183,0.000044918,-0.173225,0.562904,0.004296,5.380182e-04,2.437071e-03,1.661853e-02,1.009470e-06,1.009470e-06,1.009470e-06,1.099881e-08,1.099881e-08,1.099881e-08,0.000000e+00,0.000000e+00,0.000000e+00,0.000000,0.000000e+00,0.000000e+00,0.000000e+00,0,0.000077,-0.000076,-0.000091,-0.000022,-0.001475,-0.000969,5.685109e-04,1.883433e-04,-5.691515e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000,0.000000e+00,0.000000e+00,0.000000e+00,0,1.010903e-04,1.010903e-04,1.010884e-04,1.390742e-04,1.390742e-04,1.381140e-04,2.500025e-03,2.500025e-03,2.500025e-03
1786181234.159706831,0.004218,0.999986786,-0.001499888,0.004916652,0.000062928,-0.171845,0.563419,0.006366,5.380182e-04,2.437071e-03,1.661853e-02,1.009661e-06,1.009661e-06,1.009661e-06,1.104099e-08,1.104099e-08,1.104099e-08,0.000000e+00,0.000000e+00,0.000000e+00,0.000000,0.000000e+00,0.000000e+00,0.000000e+00,0,0.000077,-0.000082,-0.000095,0.000290,-0.001427,-0.001034,5.685109e-04,1.883433e-04,-5.691515e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000,0.000000e+00,0.000000e+00,0.000000e+00,0,1.011925e-04,1.011925e-04,1.011902e-04,1.415641e-04,1.415641e-04,1.405209e-04,2.500026e-03,2.500026e-03,2.500026e-03
1786181234.165493727,0.005787,0.999986715,-0.001517594,0.004925803,0.000047731,-0.173883,0.564465,0.004613,5.380182e-04,2.437071e-03,1.661853e-02,1.010017e-06,1.010017e-06,1.010017e-06,1.109886e-08,1.109886e-08,1.109886e-08,0.000000e+00,0.000000e+00,0.000000e+00,0.000000,0.000000e+00,0.000000e+00,0.000000e+00,0,0.000079,-0.000090,-0.000101,0.001341,-0.001442,-0.001211,5.685109e-04,1.883433e-04,-5.691515e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000,0.000000e+00,0.000000e+00,0.000000e+00,0,1.013415e-04,1.013415e-04,1.013385e-04,1.452613e-04,1.452613e-04,1.440990e-04,2.500027e-03,2.500027e-03,2.500027e-03
1786181234.169733286,0.004240,0.999986736,-0.001519241,0.004921229,0.000043334,-0.174074,0.563940,0.004109,5.380182e-04,2.437071e-03,1.661853e-02,1.010211e-06,1.010211e-06,1.010211e-06,1.114125e-08,1.114125e-08,1.114125e-08,0.000000e+00,0.000000e+00,0.000000e+00,0.000000,0.000000e+00,0.000000e+00,0.000000e+00,0,0.000085,-0.000097,-0.000106,0.001887,-0.001596,-0.001480,5.685109e-04,1.883433e-04,-5.691515e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000,0.000000e+00,0.000000e+00,0.000000e+00,0,1.014574e-04,1.014574e-04,1.014540e-04,1.479855e-04,1.479855e-04,1.467321e-04,2.500029e-03,2.500029e-03,2.500029e-03
1786181234.175483704,0.005750,0.999986826,-0.001500036,0.004908899,0.000037273,-0.171877,0.562526,0.003428,5.380182e-04,2.437071e-03,1.661853e-02,1.010564e-06,1.010564e-06,1.010564e-06,1.119876e-08,1.119876e-08,1.119876e-08,0.000000e+00,0.000000e+00,0.000000e+00,0.000000,0.000000e+00,0.000000e+00,0.000000e+00,0,0.000095,-0.000106,-0.000114,0.001707,-0.001723,-0.001396,5.685109e-04,1.883433e-04,-5.691515e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000,0.000000e+00,0.000000e+00,0.000000e+00,0,1.016239e-04,1.016239e-04,1.016196e-04,1.519559e-04,1.519559e-04,1.505723e-04,2.500030e-03,2.500030e-03,2.500030e-03
