file,sigma_g,sigma_bg,yaw_std_static_deg,err_motion_deg,rate_corr_60_110s,lag_ms,nis_static_0_60s,nis_motion_60_110s,bg_z_final
ekf_q_x0p1.csv,0.00032,1e-4,0.016730,0.114829,0.972156,0.000,3.870868,80.557047,0.016694880
ekf_out.csv,0.0032,1e-4,0.017541,0.058426,0.973426,0.000,2.403144,22.473931,0.016761690
ekf_q_x10.csv,0.032,1e-4,0.020749,0.012438,0.983378,0.000,0.359078,2.086598,0.016852900
