config,file,bg_x_init,bg_y_init,bg_z_init,bg_x_final,bg_y_final,bg_z_final,z_climb,t_to_90pct_s
初值 = 静止段估计,ekf_out.csv,0.000538018,0.002437071,0.016618530,0.000346207,0.002405975,0.016761690,0.000143160,0.000
初值 = 0,ekf_bg0.csv,0.000000000,0.000000000,0.000000000,0.000346207,0.002405975,0.016761690,0.016761690,6.450
