time,dt,qw,qx,qy,qz,roll_deg,pitch_deg,yaw_deg,bg_x,bg_y,bg_z,p00,p11,p22,p33,p44,p55,z_x,z_y,z_z,nis,S00,S11,S22,upd
1786181234.199926615,0.004433,0.999986701,-0.001517321,0.004928502,0.000067621,-0.173840,0.564778,0.006892,5.380182e-04,2.437071e-03,1.661853e-02,2.166427e-06,2.166427e-06,2.166427e-06,1.144319e-08,1.144319e-08,1.144319e-08,0.000000e+00,0.000000e+00,0.000000e+00,0.000000,0.000000e+00,0.000000e+00,0.000000e+00,0
1786181234.205504656,0.005578,0.999986718,-0.001516503,0.004925458,0.000064787,-0.173748,0.564429,0.006568,5.380182e-04,2.437071e-03,1.661853e-02,2.198306e-06,2.198306e-06,2.198306e-06,1.149897e-08,1.149897e-08,1.149897e-08,0.000000e+00,0.000000e+00,0.000000e+00,0.000000,0.000000e+00,0.000000e+00,0.000000e+00,0
1786181234.209739447,0.004235,0.999986764,-0.001515892,0.004916377,0.000060391,-0.173681,0.563387,0.006066,5.380182e-04,2.437071e-03,1.661853e-02,2.216683e-06,2.216683e-06,2.216683e-06,1.154132e-08,1.154132e-08,1.154132e-08,0.000000e+00,0.000000e+00,0.000000e+00,0.000000,0.000000e+00,0.000000e+00,0.000000e+00,0
1786181234.215524197,0.005785,0.999986742,-0.001530449,0.004916301,0.000057523,-0.175351,0.563378,0.005730,5.380182e-04,2.437071e-03,1.661853e-02,2.250969e-06,2.250969e-06,2.250969e-06,1.159916e-08,1.159916e-08,1.159916e-08,0.000000e+00,0.000000e+00,0.000000e+00,0.000000,0.000000e+00,0.000000e+00,0.000000e+00,0
1786181234.219686031,0.004162,0.999986725,-0.001534240,0.004918474,0.000062074,-0.175782,0.563628,0.006249,5.380182e-04,2.437071e-03,1.661853e-02,2.268720e-06,2.268720e-06,2.268720e-06,1.164078e-08,1.164078e-08,1.164078e-08,0.000000e+00,0.000000e+00,0.000000e+00,0.000000,0.000000e+00,0.000000e+00,0.000000e+00,0
1786181234.225484610,0.005799,0.999986706,-0.001536418,0.004921505,0.000071487,-0.176027,0.563977,0.007326,5.380182e-04,2.437071e-03,1.661853e-02,2.303172e-06,2.303172e-06,2.303172e-06,1.169877e-08,1.169877e-08,1.169877e-08,0.000000e+00,0.000000e+00,0.000000e+00,0.000000,0.000000e+00,0.000000e+00,0.000000e+00,0
1786181234.229781151,0.004297,0.999986674,-0.001542631,0.004926033,0.000073905,-0.176737,0.564496,0.007598,5.380182e-04,2.437071e-03,1.661853e-02,2.322091e-06,2.322091e-06,2.322091e-06,1.174173e-08,1.174173e-08,1.174173e-08,0.000000e+00,0.000000e+00,0.000000e+00,0.000000,0.000000e+00,0.000000e+00,0.000000e+00,0
1786181234.235511303,0.005730,0.999986751,-0.001511165,0.004919889,0.000092212,-0.173121,0.563795,0.009715,5.380182e-04,2.437071e-03,1.661853e-02,2.355736e-06,2.355736e-06,2.355736e-06,1.179904e-08,1.179904e-08,1.179904e-08,0.000000e+00,0.000000e+00,0.000000e+00,0.000000,0.000000e+00,0.000000e+00,0.000000e+00,0
1786181234.239639521,0.004128,0.999986832,-0.001486350,0.004911049,0.000094404,-0.170276,0.562783,0.009982,5.380182e-04,2.437071e-03,1.661853e-02,2.373203e-06,2.373203e-06,2.373203e-06,1.184032e-08,1.184032e-08,1.184032e-08,0.000000e+00,0.000000e+00,0.000000e+00,0.000000,0.000000e+00,0.000000e+00,0.000000e+00,0
1786181234.245501041,0.005862,0.999986885,-0.001482429,0.004901589,0.000078932,-0.169836,0.561696,0.008213,5.380182e-04,2.437071e-03,1.661853e-02,2.408409e-06,2.408409e-06,2.408409e-06,1.189893e-08,1.189893e-08,1.189893e-08,0.000000e+00,0.000000e+00,0.000000e+00,0.000000,0.000000e+00,0.000000e+00,0.000000e+00,0
1786181234.249692440,0.004191,0.999986862,-0.001490744,0.004903766,0.000076839,-0.170790,0.561945,0.007968,5.380182e-04,2.437071e-03,1.661853e-02,2.426416e-06,2.426416e-06,2.426416e-06,1.194085e-08,1.194085e-08,1.194085e-08,0.000000e+00,0.000000e+00,0.000000e+00,0.000000,0.000000e+00,0.000000e+00,0.000000e+00,0
1786181234.255512714,0.005820,0.999986807,-0.001508567,0.004909866,0.000058460,-0.172843,0.562641,0.005850,5.380182e-04,2.437071e-03,1.661853e-02,2.461130e-06,2.461130e-06,2.461130e-06,1.199905e-08,1.199905e-08,1.199905e-08,0.000000e+00,0.000000e+00,0.000000e+00,0.000000,0.000000e+00,0.000000e+00,0.000000e+00,0
1786181234.259491444,0.003979,0.999986803,-0.001503652,0.004911963,0.000075484,-0.172270,0.562884,0.007804,5.380182e-04,2.437071e-03,1.661853e-02,2.477358e-06,2.477358e-06,2.477358e-06,1.203884e-08,1.203884e-08,1.203884e-08,0.000000e+00,0.000000e+00,0.000000e+00,0.000000,0.000000e+00,0.000000e+00,0.000000e+00,0
1786181234.265499115,0.006008,0.999986819,-0.001493172,0.004911885,0.000072380,-0.171070,0.562875,0.007454,5.380182e-04,2.437071e-03,1.661853e-02,2.514343e-06,2.514343e-06,2.514343e-06,1.209891e-08,1.209891e-08,1.209891e-08,0.000000e+00,0.000000e+00,0.000000e+00,0.000000,0.000000e+00,0.000000e+00,0.000000e+00,0
1786181234.269705057,0.004206,0.999986820,-0.001485856,0.004914065,0.000065723,-0.170236,0.563123,0.006695,5.380182e-04,2.437071e-03,1.661853e-02,2.532477e-06,2.532478e-06,2.532478e-06,1.214097e-08,1.214097e-08,1.214097e-08,0.000000e+00,0.000000e+00,0.000000e+00,0.000000,0.000000e+00,0.000000e+00,0.000000e+00,0
1786181234.275507689,0.005803,0.999986799,-0.001500535,0.004913965,0.000047393,-0.171928,0.563109,0.004586,5.380182e-04,2.437071e-03,1.661853e-02,2.566984e-06,2.566984e-06,2.566984e-06,1.219900e-08,1.219900e-08,1.219900e-08,0.000000e+00,0.000000e+00,0.000000e+00,0.000000,0.000000e+00,0.000000e+00,0.000000e+00,0
1786181234.279594898,0.004087,0.999986863,-0.001486830,0.004905218,0.000053970,-0.170354,0.562107,0.005349,5.380182e-04,2.437071e-03,1.661853e-02,2.584110e-06,2.584110e-06,2.584110e-06,1.223987e-08,1.223987e-08,1.223987e-08,0.000000e+00,0.000000e+00,0.000000e+00,0.000000,0.000000e+00,0.000000e+00,0.000000e+00,0
1786181234.285500765,0.005906,0.999986894,-0.001476543,0.004901991,0.000047777,-0.169179,0.561737,0.004646,5.380182e-04,2.437071e-03,1.661853e-02,2.619856e-06,2.619856e-06,2.619856e-06,1.229893e-08,1.229893e-08,1.229893e-08,0.000000e+00,0.000000e+00,0.000000e+00,0.000000,0.000000e+00,0.000000e+00,0.000000e+00,0
1786181234.289761305,0.004261,0.999986875,-0.001466797,0.004908758,0.000054632,-0.168058,0.562513,0.005435,5.380182e-04,2.437071e-03,1.661853e-02,2.638466e-06,2.638466e-06,2.638466e-06,1.234154e-08,1.234154e-08,1.234154e-08,0.000000e+00,0.000000e+00,0.000000e+00,0.000000,0.000000e+00,0.000000e+00,0.000000e+00,0
1786181234.295483828,0.005723,0.999986835,-0.001462835,0.004917850,0.000066932,-0.167597,0.563557,0.006846,5.380182e-04,2.437071e-03,1.661853e-02,2.672030e-06,2.672030e-06,2.672030e-06,1.239876e-08,1.239876e-08,1.239876e-08,0.000000e+00,0.000000e+00,0.000000e+00,0.000000,0.000000e+00,0.000000e+00,0.000000e+00,0
1786181234.299724817,0.004241,0.999986800,-0.001464473,0.004924571,0.000064775,-0.167786,0.564327,0.006596,5.380182e-04,2.437071e-03,1.661853e-02,2.690470e-06,2.690470e-06,2.690470e-06,1.244117e-08,1.244117e-08,1.244117e-08,0.000000e+00,0.000000e+00,0.000000e+00,0.000000,0.000000e+00,0.000000e+00,0.000000e+00,0
1786181234.305497408,0.005773,0.999986795,-0.001457477,0.004927571,0.000061803,-0.166986,0.564670,0.006259,5.380182e-04,2.437071e-03,1.661853e-02,2.724625e-06,2.724625e-06,2.724625e-06,1.249890e-08,1.249890e-08,1.249890e-08,0.000000e+00,0.000000e+00,0.000000e+00,0.000000,0.000000e+00,0.000000e+00,0.000000e+00,0
1786181234.309963465,0.004466,0.999986846,-0.001447295,0.004920381,0.000061872,-0.165819,0.563846,0.006274,5.380182e-04,2.437071e-03,1.661853e-02,2.745074e-06,2.745074e-06,2.745074e-06,1.254356e-08,1.254356e-08,1.254356e-08,0.000000e+00,0.000000e+00,0.000000e+00,0.000000,0.000000e+00,0.000000e+00,0.000000e+00,0
1786181234.315506220,0.005543,0.999986890,-0.001446453,0.004911461,0.000064969,-0.165721,0.562824,0.006631,5.380182e-04,2.437071e-03,1.661853e-02,2.776566e-06,2.776566e-06,2.776566e-06,1.259898e-08,1.259898e-08,1.259898e-08,0.000000e+00,0.000000e+00,0.000000e+00,0.000000,0.000000e+00,0.000000e+00,0.000000e+00,0
1786181234.319546223,0.004040,0.999986866,-0.001456651,0.004913550,0.000056508,-0.166894,0.563062,0.005655,5.380182e-04,2.437071e-03,1.661853e-02,2.793303e-06,2.793303e-06,2.793303e-06,1.263938e-08,1.263938e-08,1.263938e-08,0.000000e+00,0.000000e+00,0.000000e+00,0.000000,0.000000e+00,0.000000e+00,0.000000e+00,0
1786181234.325495720,0.005949,0.999982622,-0.004428501,0.003775426,0.000943054,-0.507073,0.433107,0.106151,5.443971e-04,2.439558e-03,1.661666e-02,1.224172e-07,7.520941e-08,8.033860e-08,1.269573e-08,1.269567e-08,1.269568e-08,-6.177177e-03,-2.366533e-03,1.777942e-03,15.913868,2.957538e-06,2.906848e-06,2.912271e-06,1
1786181234.329789639,0.004294,0.999982337,-0.004499222,0.003762489,0.000962532,-0.515170,0.431642,0.108359,5.445979e-04,2.439602e-03,1.661663e-02,6.714756e-08,4.242527e-08,4.510083e-08,1.273854e-08,1.273850e-08,1.273851e-08,-2.896748e-04,-5.530545e-05,4.467218e-05,0.340468,2.692517e-07,1.713536e-07,1.819061e-07,1
1786181234.335578918,0.005789,0.999982144,-0.004539526,0.003762320,0.000973825,-0.519784,0.431633,0.109636,5.446804e-04,2.439624e-03,1.661661e-02,5.659121e-08,3.850196e-08,4.051067e-08,1.279631e-08,1.279628e-08,1.279628e-08,-1.165453e-04,-2.516111e-05,1.969993e-05,0.065709,2.294221e-07,1.540096e-07,1.621084e-07,1
1786181234.339669704,0.004091,0.999982036,-0.004561963,0.003764253,0.000972629,-0.522356,0.431856,0.109488,5.447275e-04,2.439634e-03,1.661660e-02,4.677556e-08,3.234588e-08,3.396661e-08,1.283712e-08,1.283708e-08,1.283708e-08,-6.637842e-05,-1.118870e-05,1.451799e-05,0.024291,2.016812e-07,1.329019e-07,1.403339e-07,1
1786181234.345482349,0.005813,0.999981904,-0.004587201,0.003768796,0.000972441,-0.525247,0.432380,0.109454,5.447579e-04,2.439641e-03,1.661660e-02,4.974086e-08,3.586740e-08,3.748340e-08,1.289512e-08,1.289506e-08,1.289507e-08,-3.860540e-05,-6.654700e-06,-1.807700e-06,0.007449,2.093277e-07,1.442079e-07,1.512519e-07,1
1786181234.349874020,0.004392,0.999981778,-0.004614657,0.003769245,0.000969772,-0.528395,0.432433,0.109136,5.447686e-04,2.439638e-03,1.661660e-02,4.503370e-08,3.233881e-08,3.382259e-08,1.293891e-08,1.293884e-08,1.293885e-08,-1.338775e-05,2.619804e-06,-2.656630e-06,0.001010,1.974445e-07,1.328810e-07,1.399203e-07,1
1786181234.355154514,0.005280,0.999981716,-0.004625893,0.003771998,0.000970259,-0.529682,0.432750,0.109185,5.447982e-04,2.439638e-03,1.661662e-02,4.671903e-08,3.405403e-08,3.555486e-08,1.299157e-08,1.299149e-08,1.299150e-08,-3.494535e-05,9.453968e-08,-1.158123e-05,0.006984,2.015409e-07,1.381559e-07,1.450629e-07,1
1786181234.359747648,0.004593,0.999981635,-0.004640109,0.003778290,0.000960762,-0.531314,0.433467,0.108087,5.448110e-04,2.439643e-03,1.661662e-02,4.454020e-08,3.235242e-08,3.379642e-08,1.303735e-08,1.303727e-08,1.303728e-08,-1.500491e-05,-4.430835e-06,7.224076e-07,0.001299,1.962764e-07,1.329213e-07,1.398454e-07,1
1786181234.365503311,0.005756,0.999981631,-0.004639543,0.003780436,0.000959464,-0.531250,0.433712,0.107938,5.448411e-04,2.439632e-03,1.661664e-02,4.863819e-08,3.567466e-08,3.722943e-08,1.309475e-08,1.309465e-08,1.309467e-08,-3.365736e-05,9.654637e-06,-1.997911e-05,0.008791,2.064175e-07,1.435396e-07,1.504068e-07,1
1786181234.369505644,0.004002,0.999981585,-0.004649008,0.003781431,0.000957393,-0.532335,0.433826,0.107696,5.448489e-04,2.439626e-03,1.661665e-02,4.312212e-08,3.110950e-08,3.253198e-08,1.313463e-08,1.313453e-08,1.313454e-08,-8.975550e-06,5.309012e-06,-1.120230e-05,0.001556,1.929953e-07,1.293417e-07,1.363197e-07,1
1786181234.375498533,0.005993,0.999981647,-0.004639017,0.003777339,0.000957186,-0.531191,0.433356,0.107679,5.448813e-04,2.439615e-03,1.661667e-02,4.918615e-08,3.613627e-08,3.770482e-08,1.319438e-08,1.319428e-08,1.319430e-08,-3.561563e-05,1.010697e-05,-1.549649e-05,0.008386,2.078535e-07,1.451507e-07,1.519964e-07,1
1786181234.379738331,0.004240,0.999981709,-0.004629030,0.003772393,0.000960790,-0.530045,0.432790,0.108099,5.449027e-04,2.439606e-03,1.661668e-02,4.422931e-08,3.197295e-08,3.342799e-08,1.323663e-08,1.323653e-08,1.323654e-08,-2.429202e-05,8.991460e-06,-1.614358e-05,0.005509,1.955476e-07,1.318076e-07,1.387994e-07,1
1786181234.385484457,0.005746,0.999981836,-0.004607953,0.003762384,0.000969038,-0.527628,0.431645,0.109058,5.449235e-04,2.439595e-03,1.661670e-02,4.847526e-08,3.553168e-08,3.708367e-08,1.329392e-08,1.329382e-08,1.329383e-08,-2.261904e-05,9.794364e-06,-1.832077e-05,0.005393,2.059943e-07,1.430478e-07,1.499261e-07,1
1786181234.389656782,0.004172,0.999981875,-0.004603278,0.003758337,0.000966554,-0.527093,0.431180,0.108778,5.449254e-04,2.439592e-03,1.661670e-02,4.367242e-08,3.156179e-08,3.299755e-08,1.333549e-08,1.333539e-08,1.333540e-08,-2.181804e-06,2.252571e-06,-1.844230e-06,0.000088,1.942555e-07,1.306218e-07,1.375970e-07,1
1786181234.395483971,0.005827,0.999981828,-0.004614190,0.003759777,0.000957240,-0.528348,0.431341,0.107705,5.449069e-04,2.439600e-03,1.661671e-02,4.863076e-08,3.569139e-08,3.724439e-08,1.339358e-08,1.339348e-08,1.339349e-08,1.996844e-05,-6.626808e-06,-8.209252e-07,0.002242,2.063982e-07,1.435973e-07,1.504564e-07,1
1786181234.399635792,0.004152,0.999981806,-0.004617336,0.003763254,0.000951754,-0.528710,0.431737,0.107073,5.449032e-04,2.439604e-03,1.661671e-02,4.366406e-08,3.155652e-08,3.299248e-08,1.343494e-08,1.343484e-08,1.343485e-08,4.075516e-06,-4.219135e-06,-5.839593e-06,0.000470,1.942362e-07,1.306067e-07,1.375830e-07,1
1786181234.405502558,0.005867,0.999981832,-0.004609710,0.003764059,0.000958320,-0.527833,0.431832,0.107828,5.449161e-04,2.439600e-03,1.661674e-02,4.880929e-08,3.582663e-08,3.738557e-08,1.349343e-08,1.349332e-08,1.349333e-08,-1.377559e-05,3.649432e-06,-2.676364e-05,0.005756,2.068638e-07,1.440660e-07,1.509252e-07,1
1786181234.409826040,0.004323,0.999981834,-0.004607550,0.003766595,0.000956618,-0.527586,0.432121,0.107633,5.449201e-04,2.439599e-03,1.661675e-02,4.438189e-08,3.211825e-08,3.357469e-08,1.353650e-08,1.353640e-08,1.353641e-08,-4.405028e-06,1.431056e-06,-8.826420e-06,0.000674,1.959046e-07,1.322318e-07,1.392140e-07,1
1786181234.415484905,0.005659,0.999981841,-0.004604560,0.003767669,0.000959312,-0.527242,0.432246,0.107942,5.449244e-04,2.439593e-03,1.661677e-02,4.813953e-08,3.527521e-08,3.681676e-08,1.359291e-08,1.359280e-08,1.359281e-08,-4.557904e-06,4.974051e-06,-1.554523e-05,0.001897,2.051278e-07,1.421740e-07,1.490537e-07,1
1786181234.419608355,0.004123,0.999981865,-0.004600390,0.003766873,0.000957662,-0.526765,0.432153,0.107755,5.449288e-04,2.439585e-03,1.661678e-02,4.334536e-08,3.132558e-08,3.275001e-08,1.363398e-08,1.363388e-08,1.363389e-08,-4.829818e-06,7.199371e-06,-8.802780e-06,0.001085,1.935046e-07,1.299501e-07,1.369149e-07,1
1786181234.425605774,0.005997,0.999981275,-0.004768396,0.003619111,0.001270220,-0.545904,0.415409,0.143580,5.456763e-04,2.440332e-03,1.661520e-02,4.991093e-08,3.610956e-08,3.560711e-08,1.369377e-08,1.369366e-08,1.369366e-08,-8.001419e-04,-6.471664e-04,1.313448e-03,18.009503,2.123902e-07,1.449525e-07,1.425067e-07,1
1786181234.429595232,0.003989,0.999981025,-0.004835016,0.003547207,0.001410608,-0.553491,0.407257,0.159680,5.461555e-04,2.440705e-03,1.661445e-02,4.411667e-08,3.114976e-08,3.032250e-08,1.373350e-08,1.373339e-08,1.373339e-08,-5.337240e-04,-3.361533e-04,6.617061e-04,5.817887,1.984206e-07,1.292013e-07,1.248286e-07,1
